velocity,amplitude
109.2552,0.34056
109.2071,0.160569
109.159,0.073
109.1109,-0.150267
109.0628,-0.297977
109.0148,-0.18757
108.9667,-0.102296
108.9186,-0.107479
108.8705,-0.111611
108.8224,-0.053262
108.7744,-0.08386
108.7263,-0.159215
108.6782,-0.114421
108.6301,0.049048
108.582,0.039697
108.534,-0.127162
108.4859,-0.055013
108.4378,0.043878
108.3897,0.006179
108.3417,0.05158
108.2936,0.098045
108.2455,0.071448
108.1974,0.002223
108.1493,-0.175495
108.1013,-0.325818
108.0532,-0.204564
108.0051,0.094074
107.957,0.097379
107.909,-0.085793
107.8609,-0.189043
107.8128,-0.327216
107.7647,-0.221191
107.7167,0.004709
107.6686,0.040613
107.6205,-0.037021
107.5724,-0.125948
107.5243,-0.072316
107.4763,-0.10673
107.4282,-0.282954
107.3801,-0.217241
107.332,-0.057568
107.284,-0.086375
107.2359,-0.186375
107.1878,-0.237356
107.1397,-0.108105
107.0916,0.064238
107.0436,-0.081529
106.9955,-0.290607
106.9474,-0.112842
106.8993,0.010832
106.8512,-0.097911
106.8032,-0.007132
106.7551,0.03082
106.707,0.018212
106.6589,0.072483
106.6109,-0.064469
106.5628,-0.357926
106.5147,-0.577321
106.4666,-0.472452
106.4185,-0.252748
106.3705,-0.213227
106.3224,-0.155144
106.2743,-0.010464
106.2262,0.122363
106.1782,0.243098
106.1301,0.201553
106.082,0.053644
106.0339,0.027788
105.9858,0.022603
105.9378,-0.033756
105.8897,0.067491
105.8416,0.11606
105.7935,0.006629
105.7455,-0.130717
105.6974,-0.330208
105.6493,-0.329726
105.6012,-0.193021
105.5531,-0.116533
105.5051,-0.061168
105.457,-0.034687
105.4089,0.028844
105.3608,0.049981
105.3127,0.065659
105.2647,0.066072
105.2166,0.03188
105.1685,0.105698
105.1204,0.12272
105.0724,0.122707
105.0243,0.203833
104.9762,0.177664
104.9281,0.14824
104.88,0.133673
104.832,-0.113205
104.7839,-0.190529
104.7358,0.0263
104.6877,0.14286
104.6397,0.222938
104.5916,0.271359
104.5435,0.103288
104.4954,-0.025587
104.4474,0.057867
104.3993,-0.035849
104.3512,-0.247684
104.3031,-0.135594
104.255,0.140137
104.207,0.21629
104.1589,0.265574
104.1108,0.33219
104.0627,0.222141
104.0147,0.043239
103.9666,0.067803
103.9185,0.297106
103.8704,0.374149
103.8223,0.113101
103.7743,-0.081683
103.7262,-0.143387
103.6781,-0.348658
103.63,-0.353038
103.5819,-0.07529
103.5339,0.037574
103.4858,-0.078779
103.4377,-0.153022
103.3896,-0.197364
103.3415,-0.139031
103.2935,-0.050424
103.2454,0.028825
103.1973,0.207058
103.1492,0.18818
103.1012,0.134929
103.0531,-0.010354
103.005,-0.250329
102.9569,-0.129293
102.9089,0.077541
102.8608,0.138
102.8127,-0.010338
102.7646,-0.296986
102.7165,-0.322366
102.6685,-0.076322
102.6204,0.003089
102.5723,-0.200848
102.5242,-0.284542
102.4762,-0.139311
102.4281,-0.081019
102.38,-0.079889
102.3319,0.067959
102.2838,0.23388
102.2358,0.253803
102.1877,0.093853
102.1396,-0.08495
102.0915,-0.189915
102.0435,-0.237125
101.9954,-0.19762
101.9473,-0.027569
101.8992,0.055156
101.8511,-0.098036
101.8031,-0.192337
101.755,0.08552
101.7069,0.251892
101.6588,-0.038612
101.6107,-0.209376
101.5627,-0.24339
101.5146,-0.2644
101.4665,-0.166748
101.4184,-0.055553
101.3704,-0.076432
101.3223,0.050181
101.2742,0.281855
101.2261,0.203267
101.178,0.102168
101.13,0.006281
101.0819,-0.127312
101.0338,-0.080835
100.9857,-0.067819
100.9377,-0.041102
100.8896,0.049109
100.8415,-0.185302
100.7934,-0.462628
100.7453,-0.24444
100.6973,0.102868
100.6492,-0.010248
100.6011,-0.222668
100.553,-0.17795
100.5049,-0.079246
100.4569,0.189477
100.4088,0.348166
100.3607,0.005694
100.3126,-0.11096
100.2646,0.204898
100.2165,0.247963
100.1684,0.049098
100.1203,0.032751
100.0722,0.089773
100.0242,-0.040686
99.9761,-0.158334
99.92802,-0.086043
99.87994,0.005311
99.83186,-0.114567
99.78378,-0.21719
99.7357,-0.190813
99.68763,-0.198581
99.63955,-0.132673
99.59147,-0.128778
99.54339,-0.126321
99.49532,-0.008579
99.44724,0.007762
99.39916,-0.003784
99.35108,0.134336
99.303,0.276647
99.25493,0.159228
99.20685,-0.088655
99.15877,-0.303332
99.11069,-0.395587
99.06261,-0.228246
99.01454,-0.021241
